Average Execution Time after 2 runs: 9.9930 seconds
Instance 12 - Average Execution Time: 9.9804 seconds
Instance 4 - Average Execution Time: 9.9996 seconds
Instance 14 - Average Execution Time: 10.0043 seconds
Instance 19 - Average Execution Time: 10.0006 seconds
Instance 15 - Average Execution Time: 9.9979 seconds
Instance 8 - Average Execution Time: 9.9981 seconds
Instance 11 - Average Execution Time: 10.0001 seconds
Instance 20 - Average Execution Time: 10.0089 seconds
Instance 9 - Average Execution Time: 9.9962 seconds
Instance 30 - Average Execution Time: 9.9804 seconds
Instance 1 - Average Execution Time: 10.0023 seconds
Instance 5 - Average Execution Time: 10.0093 seconds
Instance 7 - Average Execution Time: 9.9989 seconds
Instance 2 - Average Execution Time: 10.0000 seconds
Instance 26 - Average Execution Time: 9.9991 seconds
Instance 3 - Average Execution Time: 10.0061 seconds
Instance 23 - Average Execution Time: 10.0008 seconds
Instance 16 - Average Execution Time: 9.9926 seconds
Instance 18 - Average Execution Time: 10.0010 seconds
Instance 21 - Average Execution Time: 9.9994 seconds
Instance 22 - Average Execution Time: 9.9820 seconds
Instance 28 - Average Execution Time: 9.9997 seconds
Instance 10 - Average Execution Time: 10.0028 seconds
Instance 6 - Average Execution Time: 9.9996 seconds
Instance 17 - Average Execution Time: 9.9923 seconds
Instance 27 - Average Execution Time: 9.9876 seconds
Instance 13 - Average Execution Time: 10.0016 seconds
Instance 31 - Average Execution Time: 9.9982 seconds
Instance 32 - Average Execution Time: 10.0095 seconds
Instance 29 - Average Execution Time: 10.0109 seconds
Instance 25 - Average Execution Time: 10.0014 seconds
Instance 24 - Average Execution Time: 9.9955 seconds
